premise	hypothesis	label
Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.	I never spoke to him again.	2
Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.	I was so upset that I abruptly spoke to him again.	0
Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.	We had a very good conversation.	1
They told me, uh, that they would call me someone I would meet after all.	I wasn't told about my encounter with someone	2
They told me, uh, that they would call me someone I would meet after all.	I was told that I would be summoned to meet a man.	0
They told me, uh, that they would call me someone I would meet after all.	The man was late arriving.	1
There's a lot more you could say about that but I'll skip it.	I want to tell you all that I have learned about them!	2
There's a lot more you could say about that but I'll skip it.	I won't talk about it, although there is much to talk about.	0
There's a lot more you could say about that but I'll skip it.	I won't talk about the history of the city because there is too much to talk about.	1
However, I don't really know why.	I'm sure that's why.	2
However, I don't really know why.	I don't know why he left the schools.	1
However, I don't really know why.	I don't know why this happened	0
I'm the only one, oh, I've always used the controls for some of the air traffic controls.	I don't like to be the only one who observes the mechanics controlling the rate of operation of other space probes.	1
I'm the only one, oh, I've always used the controls for some of the air traffic controls.	Experiments carried out at the facility explore the proper navigation of space	0
I'm the only one, oh, I've always used the controls for some of the air traffic controls.	Only a few of us checked the controls of other machines.	2
I'm uh, Chief Master Sergeant, retired, as Rick said.	I am still working today	2
I'm uh, Chief Master Sergeant, retired, as Rick said.	In 2002, I went on a hunger strike.	1
I'm uh, Chief Master Sergeant, retired, as Rick said.	Rick told you I'd be at lunch and sit down.	0
There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.	A customer named Cutty makes $10,000 a month	1
There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.	There's a customer named Cutty.	0
There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.	We don't have a customer named Cutty.	2
The girl who can help me lives in the southern part of town.	The girl I want to help me lives far away.	0
The girl who can help me lives in the southern part of town.	The girl who will help me lives five miles from here.	1
The girl who can help me lives in the southern part of town.	No one can help me.	2
But they were divided as to whether they were farm workers or domestic workers, as it were.	They all agreed to work in the fields.	2
But they were divided as to whether they were farm workers or domestic workers, as it were.	They could not agree on who was the field worker and who was the domestic worker.	0
But they were divided as to whether they were farm workers or domestic workers, as it were.	They could not agree on who should work in the cotton field and who should do the housework.	1
I mean, they only had, like, five children, one of whom died.	All their offspring survived.	2
I mean, they only had, like, five children, one of whom died.	One of the five children died.	0
I mean, they only had, like, five children, one of whom died.	The stillborn child was born sick.	1
She said it was just tears streaming from her eyes and then she said, and then Joe came up to the porch.	When she told him to come to the balcony, the woman's eyes welled up with tears.	0
She said it was just tears streaming from her eyes and then she said, and then Joe came up to the porch.	A woman quickly wiped away her tears after pushing Joe off the balcony	2
She said it was just tears streaming from her eyes and then she said, and then Joe came up to the porch.	She was so happy to see Joe that she burst into tears.	1
Although the plane was on fire, it was burning, melting, and radiating radiation	Radiation can be prevented by fire prevention as well	1
Although the plane was on fire, it was burning, melting, and radiating radiation	Radiation was emitted from the metal when the plane caught fire	0
Although the plane was on fire, it was burning, melting, and radiating radiation	The rays did not flash during the heat of the fire	2
I'm retired Chief Master Sergeant Clem Francis of the US Air Force.	Retired Chief of the US Air Force.	0
I'm retired Chief Master Sergeant Clem Francis of the US Air Force.	Chief just retired a few weeks ago.	1
I'm retired Chief Master Sergeant Clem Francis of the US Air Force.	The US Air Force Chief of Staff will begin his new assignment this week.	2
It came to the point that two or three airplanes arrived in one week and I did not know where they were going.	More than one airplane arrives each week.	0
It came to the point that two or three airplanes arrived in one week and I did not know where they were going.	Increased air travel is causing problems.	1
It came to the point that two or three airplanes arrived in one week and I did not know where they were going.	No planes are ever arriving.	2
They were trained to work in airtight suits, and it took me a while to put on airtight suits.	It takes up to three months to train pilots on their air-conditioning systems.	1
They were trained to work in airtight suits, and it took me a while to put on airtight suits.	It takes time to learn the instruments used by pilots.	0
They were trained to work in airtight suits, and it took me a while to put on airtight suits.	At the end of the day, we may have instructed you in the use of the space suit worn by pilots.	2
I would like to say that it was safe to enter with a land mine because it will not explode even if it hits the ground hard.	The mine had been destroyed by the explosion of the pilot.	1
I would like to say that it was safe to enter with a land mine because it will not explode even if it hits the ground hard.	The mine had no chance of detonating.	0
I would like to say that it was safe to enter with a land mine because it will not explode even if it hits the ground hard.	There was a great danger of a land mine explosion.	2
That's exactly what it looks like I'm trying to do.	I don't know how it looks to you.	2
That's exactly what it looks like I'm trying to do.	I'm trying to do this, obviously.	0
That's exactly what it looks like I'm trying to do.	I am trying to finish my work within the next week.	1
Nevertheless, animals are lost all the time, especially goats.	The goats were weaned from the flock each day.	1
Nevertheless, animals are lost all the time, especially goats.	The goats were often fertile.	0
Nevertheless, animals are lost all the time, especially goats.	The goats were protected and safe.	2
The doors were locked when we entered.	All the doors were wide open.	2
The doors were locked when we entered.	We had the dictionary.	1
The doors were locked when we entered.	We went inside even though the doors were locked.	0
So I tried to take the amount available and try to treat it as such.	I am confident that the total number is exactly what I want this to look like.	1
So I tried to take the amount available and try to treat it as such.	I have no idea what to do with the data itself please give me more information so that I can see without stopping correctly.	2
So I tried to take the amount available and try to treat it as such.	I'll count and use the available figures.	0
and in many cases the mother's drug use is the cause.	Wives have become addicted to drugs.	1
and in many cases the mother's drug use is the cause.	The mothers are not on medication or drug regimens.	2
and in many cases the mother's drug use is the cause.	Children of mothers who are taking drugs	0
Yes, it was all right for it to rain.	I don't care about getting better.	1
Yes, it was all right for it to rain.	Here it is beautiful and raining.	0
Yes, it was all right for it to rain.	It is especially hot in the continually hot sun.	2
A person's life is precious and whether you want to help someone or not	Every life deserves to be reshaped and shaped on character and given a second chance.	1
A person's life is precious and whether you want to help someone or not	No one deserves to benefit from being molded by nature.	2
A person's life is precious and whether you want to help someone or not	Rather than benefiting and shaping on the values that life is worth as well.	0
You've got a wiring problem there, boy.	I've never seen a wire problem like this	1
You've got a wiring problem there, boy.	The wiring issue is not the problem.	2
You've got a wiring problem there, boy.	There is a problem with the lack of wires.	0
It seems interesting to me that they tolerate so much.	I'm not surprised that they were compassionate	2
It seems interesting to me that they tolerate so much.	I'm surprised they let you take food and drink there.	1
It seems interesting to me that they tolerate so much.	I wonder what they can get away with without being arrested.	0
Oh anyway anyway my kids are one is 21 and one is 24 so I don't	My children are in their early 20's.	0
Oh anyway anyway my kids are one is 21 and one is 24 so I don't	Perhaps it is because they are so close in age.	1
Oh anyway anyway my kids are one is 21 and one is 24 so I don't	I have to act like that because they all say one is eleven eleven years old.	2
Yes, people can be part-time workers or have unsound ideas if they are empowered to express their opinions.	Yes, humans are incapable of producing useful ideas when they are needed.	0
Yes, people can be part-time workers or have unsound ideas if they are empowered to express their opinions.	Yes, people may not be hungry.	1
Yes, people can be part-time workers or have unsound ideas if they are empowered to express their opinions.	Yes, people who are not mentally disabled.	2
No, they are just visiting, as they have been since the late 1960's.	They have been visitors since before 1970.	0
No, they are just visiting, as they have been since the late 1960's.	They enjoy the visit.	1
No, they are just visiting, as they have been since the late 1960's.	They have just finished their visit.	2
How do you do your aerobics?	Can you explain how you would do aerobics?	0
How do you do your aerobics?	I like aerobics because I want to strengthen my cardiovascular system.	1
How do you do your aerobics?	Please don't talk about aerobics.	2
No, that's something I hadn't thought of before.	Those are the foolish ideas that I rejected last week.	2
No, that's something I hadn't thought of before.	That is a good idea.	0
No, that's something I hadn't thought of before.	The confusion you mentioned is a good point.	1
Dambanevana two days a week called it a day of care for senior citizens while the woman goes to a senior citizens center.	The nursery is open daily only to children under five years of age.	2
Dambanevana two days a week called it a day of care for senior citizens while the woman goes to a senior citizens center.	They allow them to go more than twice a week if adult citizens agree to it.	1
Dambanevana two days a week called it a day of care for senior citizens while the woman goes to a senior citizens center.	They consider it as a day to care for senior citizens but it is called a senior citizens center.	0
This was their aim oh.	This was their zeal.	0
This was their aim oh.	This was not their original intention.	2
This was their aim oh.	They succeeded in their goal.	1
The ability to handle a gun safely using both hands	Half the times a gun misses a shot is due to the use of one hand.	1
The ability to handle a gun safely using both hands	The best way to advance in gun control is to use both legs.	2
The ability to handle a gun safely using both hands	Use both hands when practicing firearm control.	0
Uh it just came from somewhere but I don't know where it came from but	I don't know where it comes from but it's speeding.	0
Uh it just came from somewhere but I don't know where it came from but	It comes this fast but I know where it's coming from.	1
Uh it just came from somewhere but I don't know where it came from but	It comes like a thistle and I know exactly when it comes	2
No, I don't know about that. I don't think so.	I don't know much about it.	0
No, I don't know about that. I don't think so.	I don't know anything about romance.	1
No, I don't know about that. I don't think so.	I can read about it for years	2
Yes she was a famous girl who knew it	I think he knows it was fun.	1
Yes she was a famous girl who knew it	No, he hated it.	2
Yes she was a famous girl who knew it	Yes, she was a good woman.	0
Of course he decided to look for an umbrella to use.	The man who promoted the purchase of a vacuum cleaner.	2
Of course he decided to look for an umbrella to use.	The man who promoted the search for the cockroach.	0
Of course he decided to look for an umbrella to use.	A man wanted to wipe blood with a razor blade.	1
Here the situation was tense shortly after a shooting on the street three blocks from our home.	The crossing took place about a hundred miles from where I live.	2
Here the situation was tense shortly after a shooting on the street three blocks from our home.	The crossing was close to my home and makes me afraid to go outside.	1
Here the situation was tense shortly after a shooting on the street three blocks from our home.	There was a pass near my home, it never stopped well in this area.	0
uh-huh is a true change maker.	I don't agree with you, it doesn't always change.	2
uh-huh is a true change maker.	I think you may be right about the switch.	1
uh-huh is a true change maker.	You are convinced of the truth of the change.	0
